type,commit_hash,modifications,lines_added,lines_removed,lines_added+removed,diff_methods,changed_methods,complexity
other,36b2099b368755e54a9f1dcf7c5f03ff6cb5cb3c,1.0,1.0,2.0,3.0,0.0,1.0,179.0
other,1764fe622b21800bceb53a869f6573592d18b3cc,3.0,2.0,28.0,30.0,-2.0,4.0,7.833.333.333.333.330
other,295625d3542f203fc160c612e5373aedb86482ad,6.0,674.0,719.0,1393.0,0.0,1.0,0.5
other,7eb897ab2e223632b3316bf46a15d37307a3d3b6,28.0,1170.0,1116.0,2286.0,-33.0,60.0,13.714.285.714.285.700
other,e103d848fe138f00868647f044c874f8742f0daa,1.0,1.0,5.0,6.0,0.0,1.0,54.0
other,43f93d014c6cf42847ba88fe67dc2d7237bbfb4b,1.0,1.0,1.0,2.0,0.0,1.0,16.0
other,51776bc70ebb015769e938ef6da6d6c9da4c8ed6,2.0,6.0,9.0,15.0,-1.0,4.0,18.5
other,0ed1470d7468c10b51d103c99d46efac9e5e33a8,1.0,1.0,14.0,15.0,0.0,7.0,16.0
other,dc1e870d24914a26c97a52e8151355d37162799a,56.0,696.0,1910.0,2606.0,1.0,4.0,39.285.714.285.714.200
other,6b890c0bc9d469f1905a891724ae8781457ce5bb,1.0,5.0,1.0,6.0,0.0,1.0,74.0
other,dedc6ecd5b981ad8570183c8ef502d4bc3d83d2b,49.0,1140.0,1211.0,2351.0,-3.0,411.0,55.142.857.142.857.100
other,6c4855a7c7f1bfd8838bfaa54640d68b60697c0d,92.0,4940.0,4622.0,9562.0,0.0,1419.0,3.322.826.086.956.520
other,f830f64916ec0a4bb249353eb967a19c359afb7d,1.0,2.0,1.0,3.0,0.0,1.0,122.0
other,829cd9c07f9f78ace6ab552ee0f79ed5b40b7e34,1.0,1.0,0.0,1.0,0.0,1.0,79.0
other,1a68cf15af40729702949c43c74dd8c8f847c364,8.0,55.0,70.0,125.0,0.0,32.0,126.25
other,432381d9fbb7e965587764476c05548995923ea3,3.0,26.0,3.0,29.0,2.0,6.0,28.333.333.333.333.300
other,af72a230f30b391faaf236e7a1120af06253700c,1.0,2.0,0.0,2.0,0.0,0.0,79.0
other,e7a04f92a2f5d1fa13866b333dada999c3c11fd8,1.0,1.0,1.0,2.0,0.0,1.0,89.0
